"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","2.8","38.3","0.2","0.2","0.9","0.0","0.0","4.1"
"","low","1.8","21.9","0.0","0.0","0.0","0.0","0.0","3.4"
"N'Keal Harry","NE","2.9","27.7","0.2","0.3","1.6","0.0","0.1","3.7"
"","high","3.9","34.4","0.3","0.5","3.2","0.0","0.0","4.1"
"","low","2.3","22.0","0.0","0.0","0.0","0.0","0.1","3.4"
"Kendrick Bourne","SF","2.2","27.8","0.1","0.0","0.0","0.0","0.0","3.5"
"","high","2.6","32.0","0.2","0.0","0.0","0.0","0.0","3.6"
"","low","2.0","25.5","0.0","0.0","0.0","0.0","0.0","3.4"
"Andy Isabella","ARI","2.1","27.0","0.1","0.1","0.1","0.0","0.0","3.5"
"","high","2.7","36.4","0.2","0.1","0.7","0.0","0.0","4.6"
"","low","1.6","20.5","0.0","0.0","-0.2","0.0","0.0","2.8"
"James Washington","PIT","1.9","27.3","0.1","0.0","0.0","0.0","0.0","3.4"
"","high","2.7","40.6","0.2","0.0","0.1","0.0","0.0","4.0"
"","low","1.2","16.9","0.0","0.0","0.0","0.0","0.0","2.3"
"Greg Ward","PHI","2.9","27.8","0.1","0.1","0.2","0.0","0.0","3.3"
"","high","4.5","37.8","0.1","0.2","0.3","0.0","0.0","3.8"
"","low","1.8","19.1","0.0","0.0","0.2","0.0","0.0","2.5"
"Travis Fulgham","PHI","1.9","26.9","0.1","0.1","0.3","0.0","0.0","3.2"
"","high","3.1","42.5","0.1","0.1","0.6","0.0","0.0","3.9"
"","low","0.7","14.2","0.0","0.0","0.0","0.0","0.0","1.9"
"Brandon Zylstra","CAR","2.0","26.0","0.1","0.1","0.3","0.0","0.0","3.1"
"","high","2.1","27.0","0.2","0.1","0.7","0.0","0.0","3.5"
"","low","1.9","24.1","0.0","0.0","0.0","0.0","0.0","3.2"
"Quintez Cephus","DET","1.8","24.3","0.1","0.0","0.2","0.0","0.0","3.0"
"","high","2.5","34.6","0.2","0.1","0.5","0.0","0.0","3.6"
"","low","0.9","12.4","0.0","0.0","0.0","0.0","0.0","1.7"
"KhaDarel Hodge","CLE","1.6","23.2","0.1","0.0","0.0","0.0","0.0","3.0"
"","high","2.0","31.1","0.2","0.0","0.0","0.0","0.0","3.7"
"","low","1.1","15.2","0.1","0.0","0.0","0.0","0.0","2.1"
"Steven Sims","WAS","2.2","21.8","0.1","0.2","1.3","0.0","0.0","3.0"
"","high","2.6","27.5","0.2","0.3","2.8","0.0","0.0","3.5"
"","low","1.4","15.6","0.1","0.0","0.1","0.0","0.1","2.5"
"Malcolm Perry","MIA","1.8","20.6","0.1","0.2","1.1","0.0","0.0","2.9"
"","high","1.8","21.9","0.1","0.2","1.2","0.0","0.0","3.0"
"","low","1.7","19.3","0.1","0.2","1.0","0.0","0.0","2.8"
"Pharoh Cooper","CAR","2.2","22.2","0.1","0.3","1.4","0.0","0.0","2.8"
"","high","2.7","30.4","0.2","0.5","3.2","0.0","0.0","4.5"
"","low","1.2","12.2","0.0","0.1","0.4","0.0","0.1","1.8"
"Donovan Peoples-Jones","CLE","1.5","21.7","0.1","0.1","0.4","0.0","0.0","2.8"
"","high","2.1","30.9","0.2","0.1","0.6","0.0","0.0","4.4"
"","low","0.9","11.8","0.0","0.0","0.0","0.0","0.1","1.7"
"Chris Conley","JAC","1.8","22.6","0.1","0.0","0.0","0.0","0.0","2.7"
"","high","2.6","31.1","0.2","0.0","0.1","0.0","0.0","3.9"
"","low","0.9","11.2","0.0","0.0","0.0","0.0","0.1","1.5"
"Mohamed Sanu","DET","2.0","21.8","0.1","0.1","0.3","0.0","0.0","2.7"
"","high","2.6","28.8","0.2","0.1","0.5","0.0","0.0","3.6"
"","low","0.9","10.3","0.0","0.0","0.0","0.0","0.0","1.4"
"Isaiah Wright","WAS","1.9","20.5","0.1","0.1","0.9","0.0","0.0","2.6"
"","high","2.5","28.4","0.1","0.2","1.3","0.0","0.0","3.8"
"","low","1.4","15.4","0.0","0.1","0.5","0.0","0.0","2.0"
"Devin Duvernay","BAL","1.6","18.4","0.1","0.1","2.6","0.0","0.0","2.6"
"","high","2.5","28.1","0.2","0.1","5.9","0.0","0.0","3.5"
"","low","0.9","10.6","0.0","0.1","0.3","0.0","0.0","1.4"
"Isaiah McKenzie","BUF","1.6","15.9","0.1","0.5","2.1","0.0","0.0","2.6"
"","high","2.0","20.2","0.2","0.7","3.4","0.0","0.0","3.4"
"","low","1.1","10.4","0.0","0.3","1.4","0.0","0.0","2.4"
"Chad Beebe","MIN","1.8","21.1","0.1","0.0","0.0","0.0","0.1","2.5"
"","high","3.0","33.7","0.1","0.0","0.1","0.0","0.0","2.9"
"","low","1.1","13.3","0.0","0.0","0.0","0.0","0.1","1.8"
"Cam Batson","TEN","1.5","15.3","0.1","0.5","2.6","0.0","0.0","2.3"
"","high","2.4","26.1","0.2","0.6","3.8","0.0","0.0","3.9"
"","low","0.6","7.1","0.0","0.3","1.0","0.0","0.0","1.6"
"Miles Boykin","BAL","1.3","16.1","0.1","0.0","0.1","0.0","0.0","2.3"
"","high","1.3","16.1","0.1","0.0","0.1","0.0","0.0","2.3"
"","low","1.3","16.1","0.1","0.0","0.1","0.0","0.0","2.3"
"Dontrelle Inman","WAS","1.5","15.1","0.1","0.0","0.0","0.0","0.0","2.3"
"","high","2.5","25.3","0.2","0.0","0.0","0.0","0.0","3.7"
